task,kind,family,multiple,mean_percent,sd_percent,relative_l2_percent,failures,worst
thermal_sensors,nie_mlp,shift,4,9.2838,0.2023,20.6292,0,20.7561
thermal_sensors,nie_mlp,shift,8,9.3815,0.2033,20.6812,0,19.8148
thermal_sensors,node32,new,1,5.4306,0.2002,7.7586,0,14.8654
thermal_sensors,node32,new,2,15.8339,0.3202,21.6228,0,49.5336
thermal_sensors,node32,new,4,40.4160,1.1092,48.6297,0,112.2756
thermal_sensors,node32,new,8,76.0434,4.4512,93.2963,0,172.7937
thermal_sensors,node32,shift,1,14.2067,0.0816,30.1350,0,55.5587
thermal_sensors,node32,shift,2,18.0171,1.1442,36.7639,0,48.5352
thermal_sensors,node32,shift,4,29.1824,5.8677,60.0009,0,88.5209
thermal_sensors,node32,shift,8,62.6383,27.5803,126.2577,0,170.3959
thermal_sensors,node8,new,1,2.6303,0.0689,3.8074,0,11.3217
thermal_sensors,node8,new,2,7.0739,2.4771,8.4884,0,35.2370
thermal_sensors,node8,new,4,15.7835,3.2550,17.8770,0,93.1577
thermal_sensors,node8,new,8,37.3497,3.9052,50.8225,0,98.7481
thermal_sensors,node8,shift,1,11.1782,0.4579,29.7130,0,34.6072
thermal_sensors,node8,shift,2,11.7665,1.6884,27.9980,0,29.4946
thermal_sensors,node8,shift,4,14.7428,2.5591,33.9864,0,33.1817
thermal_sensors,node8,shift,8,33.5043,4.1833,78.7210,0,57.6517
wave1d,anie_lag,new,1,3.2595,0.1588,3.6850,0,10.4494
wave1d,anie_lag,new,2,3.0748,0.0012,3.0827,0,13.4043
wave1d,anie_lag,new,4,2.9773,0.0697,2.8201,0,16.3294
wave1d,anie_lag,new,8,2.8833,0.0374,2.6932,0,12.5294
wave1d,anie_lag,shift,1,83.6192,10.4192,63.2508,0,344.0494
wave1d,anie_lag,shift,2,95.8334,13.6265,68.6353,0,345.8031
wave1d,anie_lag,shift,4,94.1337,15.1989,68.7709,0,301.3068
wave1d,anie_lag,shift,8,99.9791,23.5937,74.5389,0,420.7927
wave1d,ndde4,new,1,2.0122,0.0387,2.6670,0,9.9479
